quantidadeItemVenda,precoUnitarioItemVenda,idProduto,idVenda
12,0.0,99,249
2,0.0,19,714
2,0.0,89,694
8,0.0,34,568
12,0.0,12,324
5,0.0,8,118
10,0.0,85,979
5,0.0,58,446
5,0.0,65,740
11,0.0,60,459
5,0.0,71,248
12,0.0,36,731
8,0.0,82,772
4,0.0,57,599
8,0.0,11,57
4,0.0,79,208
7,0.0,6,671
4,0.0,35,495
8,0.0,99,583
10,0.0,39,462
6,0.0,3,344
12,0.0,29,92
4,0.0,22,736
2,0.0,9,864
5,0.0,50,879
10,0.0,76,278
10,0.0,96,684
10,0.0,43,281
9,0.0,93,216
2,0.0,55,854
12,0.0,94,910
7,0.0,25,958
11,0.0,48,195
6,0.0,97,312
11,0.0,26,373
2,0.0,74,971
3,0.0,75,379
8,0.0,97,370
3,0.0,6,224
8,0.0,19,650
7,0.0,11,81
12,0.0,38,366
9,0.0,64,329
8,0.0,72,8
8,0.0,14,788
8,0.0,8,4
8,0.0,58,484
11,0.0,46,308
5,0.0,72,31
8,0.0,46,264
1,0.0,45,445
3,0.0,71,641
4,0.0,47,209
3,0.0,23,668
12,0.0,97,197
11,0.0,69,235
10,0.0,24,905
8,0.0,21,681
5,0.0,73,56
1,0.0,55,947
12,0.0,68,956
12,0.0,61,288
7,0.0,14,504
2,0.0,9,206
12,0.0,44,871
2,0.0,34,546
12,0.0,6,422
5,0.0,46,715
9,0.0,55,358
10,0.0,95,547
3,0.0,24,85
8,0.0,74,926
6,0.0,72,682
12,0.0,39,530
4,0.0,33,586
2,0.0,2,750
3,0.0,6,21
6,0.0,8,632
2,0.0,30,237
8,0.0,99,904
9,0.0,90,207
2,0.0,75,69
11,0.0,75,865
11,0.0,6,79
9,0.0,90,874
3,0.0,76,238
11,0.0,47,880
4,0.0,34,857
2,0.0,86,734
8,0.0,52,389
9,0.0,68,289
4,0.0,32,403
6,0.0,58,309
2,0.0,16,520
9,0.0,1,475
4,0.0,93,419
10,0.0,6,486
8,0.0,49,311
9,0.0,30,328
2,0.0,99,375
3,0.0,1,361
4,0.0,2,630
8,0.0,42,466
5,0.0,36,529
11,0.0,23,572
9,0.0,95,817
12,0.0,89,782
8,0.0,48,395
1,0.0,92,386
4,0.0,2,650
9,0.0,72,551
4,0.0,38,198
1,0.0,100,337
10,0.0,67,657
5,0.0,8,626
6,0.0,60,305
4,0.0,94,98
11,0.0,5,506
7,0.0,6,471
12,0.0,88,177
2,0.0,59,339
12,0.0,93,564
1,0.0,26,273
3,0.0,41,834
3,0.0,61,738
7,0.0,18,577
2,0.0,52,449
1,0.0,23,604
11,0.0,88,798
3,0.0,1,266
12,0.0,33,921
3,0.0,91,625
4,0.0,2,683
11,0.0,16,45
1,0.0,65,163
3,0.0,78,993
5,0.0,52,665
2,0.0,91,417
12,0.0,39,11
7,0.0,65,474
11,0.0,7,12
4,0.0,86,82
3,0.0,65,525
7,0.0,33,95
1,0.0,98,605
2,0.0,7,450
7,0.0,5,696
1,0.0,59,122
12,0.0,95,774
8,0.0,35,461
10,0.0,24,626
7,0.0,84,157
8,0.0,26,362
8,0.0,4,36
9,0.0,62,836
3,0.0,21,590
9,0.0,79,203
5,0.0,55,116
12,0.0,21,784
2,0.0,51,176
11,0.0,58,484
9,0.0,43,315
12,0.0,15,578
8,0.0,14,61
1,0.0,96,7
11,0.0,55,678
8,0.0,61,539
7,0.0,92,500
7,0.0,63,718
8,0.0,14,993
4,0.0,64,190
1,0.0,2,266
9,0.0,50,561
9,0.0,79,535
9,0.0,33,200
6,0.0,51,649
10,0.0,10,706
8,0.0,52,290
7,0.0,87,59
6,0.0,96,3
12,0.0,5,912
2,0.0,38,854
5,0.0,35,430
12,0.0,90,356
11,0.0,35,576
6,0.0,5,258
6,0.0,5,979
12,0.0,10,853
4,0.0,66,124
9,0.0,22,173
7,0.0,84,477
2,0.0,99,941
6,0.0,67,784
11,0.0,16,457
9,0.0,27,351
3,0.0,12,693
6,0.0,47,808
2,0.0,7,578
10,0.0,5,959
12,0.0,26,410
11,0.0,46,924
1,0.0,68,635
7,0.0,68,41
2,0.0,46,802
9,0.0,5,817
11,0.0,36,885
2,0.0,44,754
1,0.0,24,282
12,0.0,2,339
12,0.0,55,306
8,0.0,31,908
1,0.0,60,132
11,0.0,30,386
12,0.0,36,416
4,0.0,7,136
7,0.0,65,114
2,0.0,97,85
5,0.0,92,227
7,0.0,84,818
12,0.0,23,692
7,0.0,25,622
8,0.0,33,957
5,0.0,81,858
11,0.0,79,921
3,0.0,8,316
4,0.0,65,537
4,0.0,40,354
2,0.0,27,6
5,0.0,97,369
12,0.0,37,80
5,0.0,5,266
8,0.0,52,823
10,0.0,68,524
10,0.0,87,106
1,0.0,79,817
1,0.0,9,470
2,0.0,63,215
6,0.0,55,853
1,0.0,90,264
6,0.0,52,598
11,0.0,56,810
8,0.0,49,265
5,0.0,99,578
3,0.0,58,315
11,0.0,18,580
2,0.0,20,249
7,0.0,15,53
11,0.0,38,753
8,0.0,86,51
7,0.0,48,581
9,0.0,57,576
2,0.0,47,195
7,0.0,31,589
10,0.0,31,548
11,0.0,54,615
7,0.0,5,321
7,0.0,95,200
4,0.0,65,647
11,0.0,95,116
4,0.0,4,138
11,0.0,26,158
3,0.0,20,394
10,0.0,28,473
1,0.0,46,925
3,0.0,50,160
8,0.0,99,515
11,0.0,31,584
12,0.0,70,727
4,0.0,17,421
10,0.0,88,87
2,0.0,23,120
3,0.0,16,240
9,0.0,96,178
8,0.0,74,304
12,0.0,11,33
9,0.0,94,441
6,0.0,55,805
2,0.0,91,34
9,0.0,81,900
1,0.0,12,479
7,0.0,20,741
11,0.0,20,822
12,0.0,19,573
4,0.0,71,812
9,0.0,52,724
3,0.0,18,898
5,0.0,66,818
9,0.0,57,428
4,0.0,48,228
1,0.0,10,498
8,0.0,95,988
10,0.0,30,600
3,0.0,99,892
3,0.0,70,558
9,0.0,63,903
7,0.0,11,525
9,0.0,68,23
5,0.0,31,406
6,0.0,66,150
6,0.0,4,675
6,0.0,51,882
4,0.0,48,273
1,0.0,46,913
7,0.0,52,212
8,0.0,13,78
10,0.0,44,266
2,0.0,52,77
6,0.0,12,845
10,0.0,58,483
11,0.0,94,507
2,0.0,56,502
8,0.0,26,589
10,0.0,9,905
8,0.0,47,597
11,0.0,86,716
9,0.0,60,399
12,0.0,79,769
12,0.0,29,152
8,0.0,51,213
4,0.0,78,427
11,0.0,84,471
1,0.0,16,93
9,0.0,58,12
12,0.0,85,203
10,0.0,10,837
11,0.0,41,144
8,0.0,14,382
1,0.0,68,586
9,0.0,100,764
5,0.0,23,848
4,0.0,32,444
5,0.0,79,425
2,0.0,63,707
8,0.0,91,562
6,0.0,38,939
10,0.0,4,511
3,0.0,2,626
8,0.0,22,686
3,0.0,72,201
11,0.0,71,754
12,0.0,49,307
4,0.0,32,702
12,0.0,79,480
6,0.0,97,756
1,0.0,62,221
2,0.0,47,943
10,0.0,27,931
12,0.0,65,318
11,0.0,1,351
4,0.0,53,756
8,0.0,20,145
10,0.0,64,650
11,0.0,43,973
12,0.0,28,374
2,0.0,49,273
4,0.0,23,409
4,0.0,11,863
11,0.0,61,361
7,0.0,21,614
5,0.0,79,105
10,0.0,45,33
1,0.0,80,137
9,0.0,75,662
11,0.0,86,845
4,0.0,71,441
11,0.0,40,269
1,0.0,74,903
4,0.0,1,941
12,0.0,33,540
2,0.0,73,51
3,0.0,40,82
11,0.0,25,847
11,0.0,99,272
1,0.0,19,753
7,0.0,82,479
10,0.0,91,372
5,0.0,43,638
4,0.0,26,504
7,0.0,56,972
3,0.0,98,432
3,0.0,1,952
8,0.0,68,388
8,0.0,29,650
6,0.0,50,995
5,0.0,89,823
7,0.0,74,406
4,0.0,72,891
4,0.0,30,950
2,0.0,81,941
7,0.0,28,486
1,0.0,46,612
1,0.0,86,241
8,0.0,14,236
12,0.0,12,177
8,0.0,23,612
11,0.0,1,559
9,0.0,35,279
1,0.0,7,373
4,0.0,11,638
9,0.0,12,546
2,0.0,52,915
9,0.0,11,106
1,0.0,96,482
3,0.0,34,45
3,0.0,28,282
12,0.0,30,26
7,0.0,70,903
5,0.0,62,447
3,0.0,82,181
11,0.0,93,588
5,0.0,16,336
10,0.0,76,815
9,0.0,73,598
1,0.0,11,679
11,0.0,60,538
8,0.0,74,691
3,0.0,37,39
8,0.0,5,148
10,0.0,30,447
1,0.0,6,116
3,0.0,17,678
9,0.0,35,263
9,0.0,56,514
1,0.0,45,697
9,0.0,2,813
9,0.0,12,606
12,0.0,13,267
11,0.0,48,934
4,0.0,26,675
7,0.0,94,415
9,0.0,11,543
8,0.0,43,324
1,0.0,80,508
1,0.0,12,720
9,0.0,76,33
7,0.0,8,216
9,0.0,99,187
10,0.0,35,916
4,0.0,15,61
3,0.0,30,910
10,0.0,54,30
12,0.0,38,490
2,0.0,88,908
4,0.0,92,535
8,0.0,17,810
6,0.0,36,716
10,0.0,30,229
7,0.0,59,868
7,0.0,18,651
7,0.0,41,630
2,0.0,68,80
11,0.0,3,703
3,0.0,15,766
6,0.0,41,259
4,0.0,94,131
9,0.0,58,444
7,0.0,70,167
1,0.0,60,187
10,0.0,66,812
8,0.0,55,452
9,0.0,72,636
1,0.0,88,460
3,0.0,29,999
7,0.0,95,463
1,0.0,13,63
11,0.0,79,127
7,0.0,63,33
7,0.0,59,264
8,0.0,9,660
8,0.0,62,510
12,0.0,39,629
6,0.0,65,178
1,0.0,54,236
8,0.0,70,426
6,0.0,72,188
11,0.0,43,385
10,0.0,20,922
3,0.0,70,965
8,0.0,9,592
8,0.0,31,241
8,0.0,53,880
2,0.0,17,597
9,0.0,17,362
8,0.0,52,834
5,0.0,65,361
10,0.0,96,901
12,0.0,48,241
9,0.0,94,567
10,0.0,65,881
5,0.0,21,508
5,0.0,66,108
4,0.0,24,925
2,0.0,59,598
5,0.0,86,523
8,0.0,14,607
4,0.0,19,880
5,0.0,71,638
6,0.0,16,874
6,0.0,2,915
12,0.0,19,805
6,0.0,16,875
11,0.0,58,964
9,0.0,48,124
3,0.0,28,488
12,0.0,27,419
11,0.0,3,610
1,0.0,65,61
3,0.0,43,227
1,0.0,62,979
4,0.0,89,251
4,0.0,38,307
9,0.0,17,898
10,0.0,75,60
3,0.0,53,388
8,0.0,75,622
1,0.0,42,957
2,0.0,39,150
11,0.0,23,376
3,0.0,3,677
11,0.0,19,786
12,0.0,50,554
2,0.0,71,693
1,0.0,91,493
12,0.0,84,352
7,0.0,26,888
2,0.0,63,142
9,0.0,65,248
7,0.0,1,530
8,0.0,87,882
5,0.0,94,701
12,0.0,26,96
7,0.0,62,520
3,0.0,11,989
12,0.0,55,705
2,0.0,3,341
2,0.0,52,682
3,0.0,4,4
9,0.0,18,747
3,0.0,57,990
2,0.0,79,850
7,0.0,60,453
9,0.0,7,541
8,0.0,82,862
9,0.0,85,921
10,0.0,28,238
6,0.0,36,68
6,0.0,90,820
3,0.0,25,453
12,0.0,56,97
5,0.0,87,357
9,0.0,31,195
8,0.0,38,126
11,0.0,63,363
10,0.0,44,971
2,0.0,27,598
1,0.0,14,219
12,0.0,19,247
1,0.0,40,678
1,0.0,67,300
4,0.0,45,718
6,0.0,66,852
12,0.0,72,216
12,0.0,1,378
11,0.0,54,102
8,0.0,23,378
5,0.0,37,642
12,0.0,99,75
7,0.0,61,73
11,0.0,86,423
3,0.0,17,694
7,0.0,93,788
12,0.0,5,15
9,0.0,15,138
2,0.0,18,413
8,0.0,25,598
3,0.0,76,630
4,0.0,91,31
11,0.0,100,450
12,0.0,96,797
2,0.0,6,216
1,0.0,81,323
12,0.0,42,936
7,0.0,63,893
9,0.0,47,460
4,0.0,52,680
2,0.0,55,180
5,0.0,37,733
9,0.0,43,842
9,0.0,32,1000
6,0.0,31,398
8,0.0,50,399
6,0.0,73,235
4,0.0,96,474
4,0.0,5,525
5,0.0,23,803
3,0.0,87,784
8,0.0,98,637
10,0.0,36,758
11,0.0,81,834
7,0.0,53,270
4,0.0,58,681
9,0.0,19,652
1,0.0,84,251
10,0.0,59,932
3,0.0,40,845
11,0.0,54,106
6,0.0,21,736
6,0.0,72,794
4,0.0,88,108
8,0.0,99,515
2,0.0,11,270
10,0.0,100,847
5,0.0,88,533
2,0.0,81,932
4,0.0,30,640
2,0.0,76,258
6,0.0,33,122
7,0.0,65,876
11,0.0,40,294
7,0.0,36,433
7,0.0,89,631
4,0.0,50,326
11,0.0,89,32
2,0.0,37,484
12,0.0,29,65
11,0.0,6,442
2,0.0,56,245
4,0.0,9,595
12,0.0,55,919
7,0.0,22,816
1,0.0,47,609
2,0.0,89,293
5,0.0,30,960
12,0.0,1,104
12,0.0,63,169
5,0.0,25,145
1,0.0,51,31
12,0.0,63,627
8,0.0,82,779
12,0.0,31,914
1,0.0,51,928
10,0.0,17,302
7,0.0,98,368
7,0.0,24,928
6,0.0,26,132
2,0.0,10,511
3,0.0,47,40
6,0.0,47,905
10,0.0,62,60
12,0.0,45,788
5,0.0,91,126
8,0.0,11,482
12,0.0,74,202
7,0.0,51,661
11,0.0,35,441
12,0.0,35,231
2,0.0,93,699
11,0.0,14,231
5,0.0,35,291
2,0.0,16,527
7,0.0,30,303
12,0.0,54,199
1,0.0,91,472
10,0.0,82,912
6,0.0,52,6
11,0.0,63,830
7,0.0,8,631
4,0.0,50,391
3,0.0,48,193
2,0.0,70,554
5,0.0,36,342
6,0.0,90,297
2,0.0,32,701
9,0.0,88,518
1,0.0,96,253
12,0.0,100,432
8,0.0,89,927
7,0.0,94,840
2,0.0,51,223
11,0.0,81,348
5,0.0,61,178
5,0.0,56,170
7,0.0,79,798
4,0.0,97,594
10,0.0,51,239
11,0.0,14,463
10,0.0,61,623
4,0.0,62,342
11,0.0,73,369
10,0.0,9,272
8,0.0,21,315
1,0.0,15,523
4,0.0,15,759
8,0.0,39,28
12,0.0,62,767
9,0.0,100,162
7,0.0,5,199
9,0.0,73,810
4,0.0,90,65
1,0.0,42,901
9,0.0,56,112
9,0.0,31,888
7,0.0,54,785
6,0.0,1,117
3,0.0,2,661
7,0.0,94,376
4,0.0,93,376
9,0.0,47,10
11,0.0,26,307
7,0.0,91,768
9,0.0,7,358
5,0.0,88,746
7,0.0,82,49
1,0.0,83,108
2,0.0,33,544
9,0.0,4,797
5,0.0,93,309
12,0.0,33,199
12,0.0,17,718
2,0.0,90,997
1,0.0,11,451
12,0.0,79,86
4,0.0,46,53
9,0.0,80,869
3,0.0,66,554
2,0.0,94,194
7,0.0,73,490
1,0.0,93,96
11,0.0,80,563
2,0.0,60,589
3,0.0,61,926
8,0.0,23,566
8,0.0,67,869
9,0.0,21,228
4,0.0,58,500
3,0.0,99,253
3,0.0,40,933
10,0.0,90,490
4,0.0,34,529
9,0.0,86,667
7,0.0,15,635
7,0.0,51,369
11,0.0,39,852
1,0.0,14,202
3,0.0,46,397
6,0.0,85,195
7,0.0,21,541
3,0.0,67,955
2,0.0,80,46
4,0.0,23,707
7,0.0,10,430
12,0.0,69,757
11,0.0,98,351
11,0.0,15,930
4,0.0,33,119
7,0.0,84,161
9,0.0,72,411
2,0.0,73,923
9,0.0,87,981
11,0.0,87,933
12,0.0,67,22
2,0.0,60,482
12,0.0,78,551
12,0.0,2,492
10,0.0,92,696
6,0.0,89,204
8,0.0,22,783
9,0.0,15,748
6,0.0,72,315
2,0.0,22,856
10,0.0,47,380
11,0.0,22,679
6,0.0,37,81
6,0.0,95,236
4,0.0,16,92
11,0.0,50,715
9,0.0,53,503
7,0.0,98,524
4,0.0,66,543
6,0.0,70,506
10,0.0,50,924
6,0.0,68,14
3,0.0,8,177
10,0.0,30,38
3,0.0,43,63
4,0.0,45,547
9,0.0,34,480
10,0.0,71,236
3,0.0,61,316
12,0.0,34,854
12,0.0,73,548
1,0.0,97,455
5,0.0,99,427
11,0.0,14,269
12,0.0,53,716
7,0.0,4,822
2,0.0,55,128
2,0.0,64,223
8,0.0,6,923
3,0.0,58,248
8,0.0,87,208
8,0.0,1,991
9,0.0,77,713
8,0.0,27,822
1,0.0,40,759
4,0.0,47,27
11,0.0,4,603
5,0.0,69,1
6,0.0,32,77
11,0.0,6,394
4,0.0,43,934
5,0.0,29,365
11,0.0,55,20
12,0.0,42,453
12,0.0,55,269
3,0.0,86,898
7,0.0,72,301
5,0.0,51,833
2,0.0,3,89
6,0.0,76,26
3,0.0,64,719
8,0.0,8,261
9,0.0,23,796
11,0.0,70,503
4,0.0,11,658
3,0.0,11,460
4,0.0,90,650
7,0.0,45,260
3,0.0,95,618
5,0.0,1,784
6,0.0,94,593
11,0.0,43,153
3,0.0,80,651
3,0.0,34,520
11,0.0,90,705
5,0.0,99,30
3,0.0,86,800
12,0.0,30,471
12,0.0,79,12
11,0.0,34,699
1,0.0,89,892
6,0.0,33,399
3,0.0,56,404
5,0.0,31,521
10,0.0,78,976
10,0.0,83,737
7,0.0,83,954
12,0.0,57,250
8,0.0,93,346
4,0.0,33,241
7,0.0,80,65
10,0.0,63,533
5,0.0,1,337
12,0.0,98,87
8,0.0,72,424
12,0.0,35,269
10,0.0,49,469
6,0.0,76,366
3,0.0,4,123
9,0.0,82,644
11,0.0,36,90
12,0.0,27,117
5,0.0,49,721
9,0.0,92,960
1,0.0,71,992
6,0.0,89,88
7,0.0,7,533
6,0.0,97,979
4,0.0,61,529
8,0.0,97,333
8,0.0,11,575
4,0.0,20,220
5,0.0,35,876
11,0.0,67,303
3,0.0,87,123
10,0.0,69,213
12,0.0,3,617
8,0.0,67,711
9,0.0,9,266
9,0.0,21,655
1,0.0,92,587
12,0.0,68,669
7,0.0,32,769
4,0.0,88,323
11,0.0,48,848
12,0.0,98,165
2,0.0,85,947
9,0.0,96,515
1,0.0,21,381
9,0.0,65,666
10,0.0,95,128
9,0.0,83,329
3,0.0,73,56
3,0.0,33,747
1,0.0,30,341
4,0.0,79,107
2,0.0,72,648
9,0.0,97,661
3,0.0,62,941
9,0.0,89,827
6,0.0,12,444
5,0.0,67,7
7,0.0,10,509
3,0.0,88,960
7,0.0,60,304
5,0.0,50,695
10,0.0,75,419
3,0.0,47,900
1,0.0,93,377
3,0.0,20,43
12,0.0,89,561
4,0.0,30,863
11,0.0,76,906
5,0.0,73,696
9,0.0,58,913
1,0.0,15,332
3,0.0,54,991
1,0.0,70,260
8,0.0,35,443
11,0.0,71,745
8,0.0,61,682
8,0.0,71,138
4,0.0,58,794
11,0.0,93,303
6,0.0,80,217
9,0.0,47,660
11,0.0,45,301
6,0.0,84,750
4,0.0,34,817
3,0.0,12,824
1,0.0,44,385
11,0.0,54,143
6,0.0,81,929
10,0.0,84,75
7,0.0,70,912
12,0.0,28,1000
11,0.0,86,784
6,0.0,35,543
5,0.0,75,306
3,0.0,1,548
9,0.0,81,151
11,0.0,76,700
1,0.0,91,630
1,0.0,77,297
10,0.0,65,857
7,0.0,94,193
11,0.0,33,30
4,0.0,19,265
8,0.0,96,506
1,0.0,70,734
9,0.0,82,707
2,0.0,40,29
9,0.0,73,336
5,0.0,28,206
9,0.0,55,697
2,0.0,59,968
10,0.0,46,554
8,0.0,52,835
6,0.0,61,982
11,0.0,18,342
7,0.0,77,124
4,0.0,97,75
3,0.0,35,967
1,0.0,81,522
6,0.0,56,925
1,0.0,17,526
8,0.0,85,235
5,0.0,29,877
3,0.0,45,898
4,0.0,3,521
4,0.0,76,783
5,0.0,57,399
6,0.0,57,750
8,0.0,99,354
11,0.0,35,176
7,0.0,38,274
6,0.0,100,908
11,0.0,21,207
3,0.0,72,967
3,0.0,94,204
6,0.0,53,910
8,0.0,9,186
1,0.0,100,565
9,0.0,47,968
4,0.0,92,221
4,0.0,41,113
10,0.0,65,573
4,0.0,24,934
1,0.0,93,95
4,0.0,58,643
8,0.0,19,955
8,0.0,18,214
7,0.0,47,684
12,0.0,22,5
7,0.0,8,837
2,0.0,5,316
7,0.0,49,140
1,0.0,18,723
6,0.0,78,917
8,0.0,71,474
2,0.0,51,2
8,0.0,33,566
7,0.0,93,398
12,0.0,89,152
6,0.0,90,610
8,0.0,6,7
3,0.0,14,179
10,0.0,53,345
2,0.0,80,517
5,0.0,78,883
12,0.0,74,162
7,0.0,61,70
4,0.0,87,926
6,0.0,1,489
9,0.0,50,467
10,0.0,47,229
8,0.0,80,84
7,0.0,77,461
12,0.0,44,98
7,0.0,19,58
11,0.0,45,979
9,0.0,86,552
7,0.0,1,478
1,0.0,32,420
2,0.0,23,388
1,0.0,41,435
1,0.0,36,665
11,0.0,91,245
7,0.0,98,393
3,0.0,57,518
4,0.0,48,228
10,0.0,67,413
8,0.0,92,240
9,0.0,82,24
4,0.0,71,392
5,0.0,18,4
10,0.0,80,191
6,0.0,60,428
3,0.0,71,847
11,0.0,24,454
4,0.0,2,900
1,0.0,82,219
4,0.0,28,655
4,0.0,97,258
1,0.0,72,215
11,0.0,37,361
7,0.0,88,722
8,0.0,42,378
6,0.0,53,311
1,0.0,18,504
6,0.0,9,815
2,0.0,19,112
11,0.0,58,279
7,0.0,16,13
7,0.0,39,112
9,0.0,95,380
2,0.0,18,369
4,0.0,50,220
4,0.0,8,830
12,0.0,57,259
4,0.0,49,111
5,0.0,80,940
11,0.0,91,204
5,0.0,4,478
3,0.0,93,245
1,0.0,32,521
4,0.0,100,722
12,0.0,42,638
5,0.0,11,207
5,0.0,74,367
8,0.0,62,683
1,0.0,71,936
3,0.0,20,179
6,0.0,35,923
1,0.0,65,627
2,0.0,55,130
2,0.0,59,139
6,0.0,39,65
10,0.0,95,714
5,0.0,65,870
9,0.0,69,388
9,0.0,54,103
4,0.0,29,539
2,0.0,61,852
6,0.0,39,635
11,0.0,13,558
6,0.0,32,575
5,0.0,77,425
2,0.0,23,931
8,0.0,17,398
3,0.0,49,54
8,0.0,1,914
6,0.0,38,514
11,0.0,39,1000
7,0.0,38,337
6,0.0,71,218
3,0.0,98,469
10,0.0,64,342
5,0.0,56,147
6,0.0,8,579
6,0.0,46,107
8,0.0,37,454
11,0.0,98,631
10,0.0,72,962
1,0.0,8,986
10,0.0,12,814
2,0.0,23,392
8,0.0,60,769
11,0.0,50,744
9,0.0,100,918
8,0.0,84,972
3,0.0,21,831
4,0.0,90,872
1,0.0,99,501
5,0.0,79,816
10,0.0,86,617
9,0.0,11,20
4,0.0,94,431
12,0.0,25,956
2,0.0,72,742
8,0.0,71,890
10,0.0,51,795
12,0.0,75,780
9,0.0,69,817
6,0.0,76,667
11,0.0,79,115
6,0.0,58,122
11,0.0,66,743
6,0.0,57,854
11,0.0,61,155
6,0.0,33,140
4,0.0,30,614
8,0.0,50,960
6,0.0,40,827
12,0.0,89,438
10,0.0,41,704
11,0.0,46,119
2,0.0,41,574
9,0.0,45,409
7,0.0,32,919
2,0.0,5,235
12,0.0,29,962
3,0.0,64,470
11,0.0,57,844
1,0.0,21,117
5,0.0,67,478
10,0.0,8,569
11,0.0,97,537
5,0.0,69,734
5,0.0,23,732
12,0.0,79,263
5,0.0,93,21
1,0.0,42,515
10,0.0,59,85
12,0.0,60,267
1,0.0,63,77
3,0.0,62,579
9,0.0,86,141
8,0.0,100,960
2,0.0,58,217
6,0.0,52,158
4,0.0,81,23
1,0.0,38,137
8,0.0,2,943
9,0.0,77,962
2,0.0,48,50
7,0.0,88,23
8,0.0,52,696
10,0.0,70,309
9,0.0,35,60
6,0.0,17,197
4,0.0,60,451
10,0.0,86,613
6,0.0,11,359
2,0.0,59,248
7,0.0,9,864
2,0.0,50,902
2,0.0,69,824
12,0.0,75,133
6,0.0,97,41
8,0.0,94,634
9,0.0,55,241
2,0.0,38,722
11,0.0,4,925
4,0.0,49,465
11,0.0,9,270
6,0.0,69,273
2,0.0,42,509
10,0.0,58,778
8,0.0,30,700
3,0.0,49,548
1,0.0,15,948
10,0.0,73,539
1,0.0,10,73
9,0.0,96,366
1,0.0,40,139
7,0.0,11,823
12,0.0,97,900
9,0.0,4,787
5,0.0,95,27
6,0.0,27,758
11,0.0,40,261
9,0.0,30,718
3,0.0,32,900
1,0.0,73,959
11,0.0,6,46
5,0.0,94,427
8,0.0,88,496
9,0.0,86,481
3,0.0,15,872
2,0.0,60,384
1,0.0,7,934
11,0.0,44,816
1,0.0,36,664
9,0.0,37,217
9,0.0,60,942
6,0.0,5,730
1,0.0,82,766
4,0.0,51,774
5,0.0,12,324
5,0.0,34,886
10,0.0,58,505
1,0.0,70,642
8,0.0,37,947
2,0.0,98,342
10,0.0,79,94
8,0.0,41,159
7,0.0,48,40
11,0.0,36,829
4,0.0,36,198
9,0.0,54,915
7,0.0,55,610
6,0.0,99,653
2,0.0,60,778
7,0.0,97,751
9,0.0,14,5
3,0.0,61,394
11,0.0,54,39
6,0.0,29,890
7,0.0,24,653
1,0.0,36,714
4,0.0,56,884
2,0.0,21,934
11,0.0,34,419
2,0.0,11,618
10,0.0,94,810
8,0.0,48,21
6,0.0,17,67
9,0.0,57,970
8,0.0,22,2
6,0.0,67,792
9,0.0,16,805
7,0.0,27,515
7,0.0,61,294
4,0.0,73,706
6,0.0,34,667
1,0.0,25,979
9,0.0,82,714
9,0.0,11,180
1,0.0,53,286
2,0.0,46,743
4,0.0,43,701
12,0.0,62,476
6,0.0,17,830
7,0.0,67,152
7,0.0,64,85
8,0.0,20,343
5,0.0,75,26
9,0.0,11,655
10,0.0,54,75
12,0.0,80,223
1,0.0,66,958
5,0.0,61,192
11,0.0,13,832
10,0.0,72,589
4,0.0,90,116
11,0.0,94,400
5,0.0,51,287
6,0.0,48,922
8,0.0,5,410
7,0.0,68,537
5,0.0,89,607
10,0.0,69,544
1,0.0,23,26
2,0.0,79,145
7,0.0,50,579
1,0.0,94,924
5,0.0,74,188
4,0.0,76,251
6,0.0,78,660
4,0.0,13,112
7,0.0,50,940
11,0.0,27,864
4,0.0,83,1
4,0.0,22,577
